
Pinging 2001:67c:20a0:2:0:164:0:39 with 64 bytes of data:
Request timed out.
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=33ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=30ms 
Reply from 2001:67c:20a0:2:0:164:0:39: time=31ms 
